Serial,DC Number,Party Name,Party Place,Party Taluka,Party District,Crop,Variety,Packet,Date,Transport,LR Number,Freight
50,MRN-31,Vitthal Krupa Lrushi Seva Kendra,Khultabad,Aurangbad,Aurangabad,Cotton,Super-931,10,7/21/2022,,,
51,MRN-32,Bhawani Krishi Kendra,Kalamb,Kalamb,Yavatmal,Cotton,Super-971,5,7/21/2022,,,
52,MRN-32,Bhawani Krishi Kendra,Kalamb,Kalamb,Yavatmal,Cotton,Super-931,54,7/21/2022,,,
53,MRN-33,Jai Gajanan Krushi Kendra,Lakkad Mandi,Aurangbad,Aurangbad,Cotton,Super-971,749,7/21/2022,,,
54,MRN-33,Jai Gajanan Krushi Kendra,Lakkad Mandi,Aurangbad,Aurangbad,Cotton,Super-931,718,7/21/2022,,,
55,MRN-34,Sawata Krushi Seva Kendra,Paithan,Paithan,Aurangabad,Cotton,Super-971,2,7/21/2022,,,
56,MRN-34,Sawata Krushi Seva Kendra,Paithan,Paithan,Aurangabad,Cotton,Super-931,45,7/21/2022,,,
57,MRN-35,Shri Swami Samarth Krushi Seva Kendra,Paithan,Paithan,Aurangabad,Cotton,Super-971,139,7/21/2022,,,
58,MRN-35,Shri Swami Samarth Krushi Seva Kendra,Paithan,Paithan,Aurangabad,Cotton,Super-931,68,7/21/2022,,,
59,MRN-36,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-931,656,7/21/2022,,,
60,MRN-36,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-971,780,7/21/2022,,,
61,MRN-38,Kailash Agro agencies,Bhokardhan,Bhokardhan,Jalna,Cotton,Super-971,85,7/21/2022,,,
62,MRN-38,Kailash Agro agencies,Bhokardhan,Bhokardhan,Jalna,Cotton,Super-931,20,7/21/2022,,,
63,MRN-39,Krishi Vaibhav Seeds & Fertilizer,Arni,Arni,Yavatmal,Cotton,Super-971,240,7/24/2022,,,
64,MRN-39,Krishi Vaibhav Seeds & Fertilizer,Arni,Arni,Yavatmal,Cotton,Super-931,77,7/24/2022,,,
65,MRN-40,Shital Agro Agencies,Warud,Amravati,Amravati,Cotton,Super-931,229,7/24/2022,,,
66,MRN-41,Satpuda Sheti Seva Kendra,Shahada,Shahada,Nandurbar,Cotton,Super-971,28,7/24/2022,,,
67,MRN-41,Satpuda Sheti Seva Kendra,Shahada,Shahada,Nandurbar,Cotton,Super-931,24,7/24/2022,,,
68,MRN-42,shri Sant bhojaji Maharaj krushi Kendra,Allipur,Hinganghat,Wardha,Cotton,Super-971,27,7/24/2022,,,
69,MRN-43,Taori Krishi Kendra,Kelzer,Hinganghat,Wardha,Cotton,Super-971,59,7/24/2022,,,
70,MRN-43,Taori Krishi Kendra,Kelzer,Hinganghat,Wardha,Cotton,Super-931,30,7/24/2022,,,
71,MRN-46,Prajwal Agro Center,Jalgaon jamod,Buldhana,Buldhana,Cotton,Super-971,44,7/26/2022,,,
72,MRN-46,Prajwal Agro Center,Jalgaon jamod,Buldhana,Buldhana,Cotton,Super-931,25,7/26/2022,,,
73,MRN-49,Haritkranti Krushi Udyog,Ganagapur,Gangapur,Aurangbad,Cotton,Super-971,39,7/26/2022,,,
74,MRN-49,Haritkranti Krushi Udyog,Ganagapur,Gangapur,Aurangbad,Cotton,Super-931,43,7/26/2022,,,
75,MRN-49,Haritkranti Krushi Udyog,Ganagapur,Gangapur,Aurangbad,Maize,Super-777,9,7/26/2022,,,
76,MRN-49,Haritkranti Krushi Udyog,Ganagapur,Gangapur,Aurangbad,Bajra,Super-78,25,7/26/2022,,,
77,MRN-50,Sagar Krushi Seva Kendra,Vaijapur,Vaijapur,Aurangabad,Cotton,Super-931,102,7/26/2022,,,
78,MRN-50,Sagar Krushi Seva Kendra,Vaijapur,Vaijapur,Aurangabad,Cotton,Super-971,59,7/26/2022,,,
79,MRN-51,Vardhaman Seeds,Nandurbar,Nandurbar,Nandurbar,Cotton,Super-931,82,7/26/2022,,,
80,MRN-51,Vardhaman Seeds,Nandurbar,Nandurbar,Nandurbar,Cotton,Super-971,80,7/26/2022,,,
81,MRN-54,chandak brothers,Wardha,Wardha,Wardha,Cotton,Super-971,10,7/27/2022,,,
82,MRN-54,chandak brothers,Wardha,Wardha,Wardha,Cotton,Super-931,68,7/27/2022,,,
83,MRN-57,balaji krushi seva kendra,Vaijapur,Vaijapur,Aurangabad,Cotton,Super-971,18,7/28/2022,,,
