Serial,DC Number,Party Name,Party Place,Party Taluka,Party District,Crop,Variety,Packet,Date,Transport,LR Number,Freight
213,MRN-98,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Gitanjali,138,8/21/2022,,,
214,MRN-98,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Priyanka,65,8/21/2022,,,
215,MRN-98,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Anjali,115,8/21/2022,,,
216,MRN-99,Maa Krushi Kendra,Chincholi,Bramhapuri,Chandrapur,Paddy,Devika,164,8/22/2022,,,
217,MRN-100,Mohit Trading Company,Nagardhan,Ramtek,Nagpur,Paddy,Gitanjali,457,8/23/2022,,,
218,MRN-100,Mohit Trading Company,Nagardhan,Ramtek,Nagpur,Paddy,Priyanka,173,8/23/2022,,,
219,MRN-100,Mohit Trading Company,Nagardhan,Ramtek,Nagpur,Paddy,Anjali,2,8/23/2022,,,
220,MRN-100,Mohit Trading Company,Nagardhan,Ramtek,Nagpur,Paddy,Puja,5,8/23/2022,,,
221,MRN-94,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Paddy,Priyanka,285,8/20/2022,,,
222,MRN-101,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Priyanka,67,8/25/2022,,,
223,MRN-101,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Devika,63,8/25/2022,,,
224,MRN-101,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Gitanjali,2,8/25/2022,,,
225,MRN-14,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Green Gram,Manika,18,7/20/2022,,,
226,MRN-19,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Green Gram,Manika,16,7/20/2022,,,
227,MRN-102,Chabildas  Dhanjibhai Gandhi,chamorshi,Yavatmal,Yavatmal,Paddy,Gitanjali,135,8/29/2022,,,
228,MRN-102,Chabildas  Dhanjibhai Gandhi,chamorshi,Yavatmal,Yavatmal,Paddy,Priyanka,250,8/29/2022,,,
229,MRN-103,Shetkari Krushi SevaKendra,Lakhandoor,Lakhandoor,Bhandara,Paddy,Gitanjali,98,8/29/2022,,,
230,MRN-103,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Paddy,Priyanka,150,8/29/2022,,,
231,MRN-103,Shetkari Krushi SevaKendra,Lakhandoor,Lakhandoor,Bhandara,Paddy,Devika,25,8/29/2022,,,
232,MRN-104,"jailaxmi krushi kendra, Asegaon",Asegaon,Pavani,Bhandara,Paddy,Devika,42,8/29/2022,,,
233,MRN-37,Samrudhi Krishi Kendra,Nagpur,Nagpur,Nagpur,Cotton,Super-931,279,7/22/2022,,,
234,MRN-37,Samrudhi Krishi Kendra,Nagpur,Nagpur,Nagpur,Cotton,Super-971,607,7/22/2022,,,
235,MRN-104,Jay Laxmi Krushi Kendra,Shekapur,Shekapur,Wardha,Paddy,Priyanka,153,8/28/2022,,,
236,MRN-104,Jay Laxmi Krushi Kendra,Shekapur,Shekapur,Wardha,Paddy,Puja,99,8/28/2022,,,
237,MRN-107,Prabhu Krushi Seva Kendra,Paithan,Paithan,Aurangabad,Cotton,Super-931,17,9/4/2022,,,
238,MRN-105,Himanshi Traders,Kandri,Mohadi,Bhandara,Paddy,Gitanjali,332,9/4/2022,,,
239,MRN-105,Himanshi Traders,Kandri,Mohadi,Bhandara,Paddy,Priyanka,328,9/4/2022,,,
240,MRN-105,Himanshi Traders,Kandri,Mohadi,Bhandara,Paddy,Puja,52,9/4/2022,,,
241,MRN-105,Himanshi Traders,Kandri,Mohadi,Bhandara,Paddy,Anjali,240,9/5/2022,,,
242,MRN-106,Radha Krishi Kendra,Borgaon,Bhandara,Bhandara,Paddy,Gitanjali,67,9/4/2022,,,
243,MRN-108,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Priyanka,120,9/7/2022,,,
244,MRN-108,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Devika,65,9/7/2022,,,
245,MRN-108,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Anjali,180,9/7/2022,,,
246,MRN-113,Shiv Krupa KSK,Vaijapur,Vaijapur,Aurangbad,Maize,Super-1177,20,12/28/2022,,,
247,MRN-114,Jai Gajanan Krushi Kendra,Lakkad Mandi,Aurangbad,Aurangbad,Sunflower,Agni,47,12/28/2022,,,
248,MRN-115,Swaraj Krushi Udyog,Phulambri,Phulambri,Aurangabad,Maize,Super-1177,10,12/29/2022,,,
249,MRN-116,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Maize,Super-1177,20,12/29/2022,,,
250,MRN-117,Swaraj Krushi Udyog,Phulambri,Phulambri,Aurangabad,Sunflower,Agni,15,1/1/2023,,,
251,MRN-118,Baldevdas Beej Bhandar,Sillod,AURANGABAD,AURANGABAD,Maize,Super-777,8,1/1/2023,,,
252,MRN-119,jain Fertilizers,Phulambri,Phulambri,Aurangabad,Maize,Super-777,30,1/1/2023,,,
253,MRN-119,jain Fertilizers,Phulambri,Phulambri,Aurangabad,Maize,Super-1177,70,1/1/2023,,,
254,MRN-120,Shree Agro Krushi Udyog-Pimpalgaon,Pimpalgon,Sillod,Aurangabad,Maize,Super-1177,6,1/1/2023,,,
255,MRN-121,Vitthal Krupa Lrushi Seva Kendra,Khultabad,Aurangbad,Aurangabad,Sunflower,Agni,10,1/1/2023,,,
256,MRN-122,balaji krushi seva kendra,Vaijapur,Vaijapur,Aurangabad,Maize,Super-1177,20,1/1/2023,,,
257,MRN-123,Baldevdas Beej Bhandar,Sillod,AURANGABAD,AURANGABAD,Maize,Super-1177,20,1/1/2023,,,
258,MRN-124,Haritkranti Krushi Udyog,Ganagapur,Gangapur,Aurangbad,Maize,Super-1177,20,1/1/2023,,,
259,MRN-125,Shree Ram Agro Service,Nagapur,Nagapur,Aurangabad,Maize,Super-1177,10,1/1/2023,,,
260,MRN-126,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Maize,Super-1177,6,1/1/2023,,,
261,MRN-127,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Maize,Super-1177,12,1/1/2023,,,
262,MRN-127,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Maize,Super-777,14,1/1/2023,,,
263,MRN-127,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Sunflower,Agni,2,1/1/2023,,,
264,MRN-128,Jai Gajanan Krushi Kendra,Lakkad Mandi,Aurangbad,Aurangbad,Maize,Super-1177,40,1/1/2023,,,
265,MRN-129,laxmi sales corporation,Gangapur,Gangapur,Aurangabad,Sunflower,Agni,9,1/1/2023,,,
266,MRN-130,Kisan Krushi Seva kendra,Ahmednagar,Ahmednagar,Ahmednagar,Maize,Super-777,89,1/3/2023,,,
267,MRN-131,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Sunflower,Agni,10,1/4/2023,,,
268,MRN-132,Vikas Agro Agency,Bahadarpur,Parola,Jalgaon,Maize,Super-1177,20,1/4/2023,,,
269,MRN-132,Vikas Agro Agency,Bahadarpur,Parola,Jalgaon,Maize,Super-777,10,1/4/2023,,,
270,MRN-133,Vijay Krishi Mandir,Chalisgaon,Chalisgaon,Jalgaon,Maize,Super-1177,18,1/8/2023,,,
271,MRN-133,Vijay Krishi Mandir,Chalisgaon,Chalisgaon,Jalgaon,Maize,Super-777,49,1/8/2023,,,
272,MRN-134,Jai Gajanan Krushi Kendra,Lakkad Mandi,Aurangbad,Aurangbad,Maize,Super-1177,14,1/12/2023,,,
273,MRN-135,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Maize,Super-1177,46,1/12/2023,,,
274,MRN-135,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Maize,Super-777,45,1/12/2023,,,
275,MRN-135,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Sunflower,Agni,15,1/12/2023,,,
276,MRN-136,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Maize,Super-1177,50,1/12/2023,,,
277,MRN-136,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Maize,Super-777,26,1/12/2023,,,
278,MRN-137,Sudarshan Agro Agencies,Nagardeola,Chopda,Jalgaon,Maize,Super-1177,15,1/12/2023,,,
279,MRN-138,Shri Sai Agro Agencies,Yawal,Yawal,Jalgaon,Maize,Super-777,10,1/16/2023,,,
280,MRN-139,Bhadgaon Co-Operative Fruit Sale Society,Bhadgaon,Bhadgaon,Jalgaon,Maize,Super-777,18,1/16/2023,,,
281,MRN-140,Baliraja Agro,Erandol,Jalgaon,Jalgaon,Maize,Super-777,28,1/16/2023,,,
282,MRN-140,Baliraja Agro,Erandol,Jalgaon,Jalgaon,Sunflower,Agni,72,1/16/2023,,,
283,MRN-141,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Maize,Super-1177,22,1/22/2023,,,
284,MRN-141,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Maize,Super-777,5,1/22/2023,,,
285,MRN-141,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Bajra,Super-78,30,1/22/2023,,,
286,MRN-142,Patil Agro Agency,Amalner,Amalner,Jalgaon,Maize,Super-777,39,1/24/2023,,,
287,MRN-142,Patil Agro Agency,Amalner,Amalner,Jalgaon,Maize,Super-1177,29,1/24/2023,,,
288,MRN-142,Patil Agro Agency,Amalner,Amalner,Jalgaon,Bajra,Super-78,30,1/24/2023,,,
289,MRN-142,Patil Agro Agency,Amalner,Amalner,Jalgaon,Sunflower,Agni,9,1/24/2023,,,
290,MRN-143,Shiv Krupa KSK,Vaijapur,Vaijapur,Aurangbad,Maize,Super-1177,16,1/26/2023,,,
291,MRN-144,Swaraj Krushi Udyog,Phulambri,Phulambri,Aurangabad,Maize,Super-1177,17,1/26/2023,,,
292,MRN-145,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Sunflower,Agni,2,1/26/2023,,,
293,MRN-146,Baliraja Agro,Erandol,Jalgaon,Jalgaon,Sunflower,Agni,13,1/26/2023,,,
294,MRN-146,Baliraja Agro,Erandol,Jalgaon,Jalgaon,Bajra,Super-78,30,1/26/2023,,,
295,MRN-148,jain Fertilizers,Phulambri,Phulambri,Aurangabad,Maize,Super-1177,15,2/6/2023,,,
296,MRN-148,jain Fertilizers,Phulambri,Phulambri,Aurangabad,Maize,Super-777,37,2/6/2023,,,
